7zip 26.00-1
torbrowser-launcher 0.3.7-4
totem-pl-parser 3.26.6+r30+g51b8439-2
tpm2-tss 4.1.3-1
tree-sitter 0.25.10-3
tree-sitter-c 0.24.1-1
tree-sitter-cli 0.25.10-3
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
trunk 0.21.14-1
tslib 1.24-1
ttf-hack 3.003-7
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-sourcecodepro-nerd 3.4.0-2
twolame 0.4.0-4
typescript 5.9.3-2
typescript-language-server 5.1.3-1
tzdata 2025c-1
uchardet 0.0.8-3
udisks2 2.11.0-1
umu-launcher 1.3.0-2
unibilium 2.1.2-1
unixodbc 2.3.14-1
unp 1:2.0-1
unrar 1:7.2.4-1
unrar-free 1:0.3.3-1
unzip 6.0-23
upower 1.91.1-1
usbredir 0.15.0-1
usbutils 019-1
usd 25.11-4
uthash 2.3.0-2
util-linux 2.41.3-2
util-linux-libs 2.41.3-2
uv 0.10.4-1
v4l-utils 1.32.0-1
v4l2loopback-dkms 0.15.3-1
v4l2loopback-utils 0.15.3-1
vala 0.56.18-5
vamp-plugin-sdk 1:2.10-1
vapoursynth 73-2
vboot-utils 112.15359-1
vde2 2.3.3-8
vencord-bin 1.14.1-1
vesktop-bin 1.6.5-1
vid.stab 1.1.1-2
vim 9.2.0038-1
vim-runtime 9.2.0038-1
vinagre 1:3.22.0+r160+gc86e114-4
virglrenderer 1.2.0-1
virt-install 5.1.0-3
virt-manager 5.1.0-3
virtiofsd 1.13.3-1
virtualbox 7.2.6-1
virtualbox-host-modules-arch 7.2.6-4
viu-media 3.3.3-1
vkbasalt-cli 3.1.1-3
vlc-plugin-a52dec 3.0.21-32
vlc-plugin-alsa 3.0.21-32
vlc-plugin-archive 3.0.21-32
vlc-plugin-dav1d 3.0.21-32
vlc-plugin-dbus 3.0.21-32
vlc-plugin-dbus-screensaver 3.0.21-32
vlc-plugin-faad2 3.0.21-32
vlc-plugin-flac 3.0.21-32
vlc-plugin-gnutls 3.0.21-32
vlc-plugin-inflate 3.0.21-32
vlc-plugin-journal 3.0.21-32
vlc-plugin-jpeg 3.0.21-32
vlc-plugin-mpg123 3.0.21-32
vlc-plugin-ogg 3.0.21-32
vlc-plugin-opus 3.0.21-32
vlc-plugin-png 3.0.21-32
vlc-plugin-shout 3.0.21-32
vlc-plugin-speex 3.0.21-32
vlc-plugin-tag 3.0.21-32
vlc-plugin-theora 3.0.21-32
vlc-plugin-twolame 3.0.21-32
vlc-plugin-vorbis 3.0.21-32
vlc-plugin-vpx 3.0.21-32
vlc-plugin-xml 3.0.21-32
vlc-plugins-base 3.0.21-32
vmaf 3.0.0-2
volume_key 0.3.12-12
vrrtest-git r34.1532c62-1
vscode-css-languageserver 1.107.0-1
vscode-html-languageserver 1.107.0-1
vscode-json-languageserver 1.107.0-1
vte-common 0.82.3-1
vte3 0.82.3-1
vulkan-headers 1:1.4.341.0-1
vulkan-icd-loader 1.4.341.0-1
vulkan-tools 1.4.341.0-1
vulkan-validation-layers 1.4.341.0-1
wasm-bindgen 0.2.104-1
wasm-pack 0.14.0-1
wavpack 5.9.0-1
waydroid 1.6.1-1
wayland 1.24.0-1
wayland-protocols 1.47-1
wayvnc 0.9.1-1
webkit2gtk 2.50.5-1
webkit2gtk-4.1 2.50.5-1
webkitgtk-6.0 2.50.5-1
webrtc-audio-processing-1 1.3-5
weston 14.0.2-3
wev 1.1.0-1
wget 1.25.0-3
wgsl-analyzer-bin 20251104-1
which 2.23-1
wine 11.2-1
wine-gecko 2.47.4-2
wine-mono 10.4.1-1
winegui-bin 2.8.1-1
winetricks 20260125-1
wireguard-tools 1.0.20250521-1
wireplumber 0.5.13-1
wl-clipboard 1:2.2.1-3
wlr-randr 0.5.0-1
wlroots0.18 0.18.3-1
woff2 1.0.2-6
wofi 1.5.3-1
wolfssl 5.8.4-1
wpa_supplicant 2:2.11-5
wxwidgets-common 3.2.9-4
wxwidgets-gtk3 3.2.9-4
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xautomation 1.09-6
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xclicker 1.5.1-1
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-3
xdg-desktop-portal-kde 6.6.0-1
xdg-user-dirs 0.19-2
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xdotool 4.20251130.1-1
xf86-input-libinput 1.5.0-1
xfconf 4.20.0-2
xfdesktop 4.20.1-3
xkeyboard-config 2.46-1
xmlsec 1.3.9-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.5-1
xorg-xdpyinfo 1.4.0-1
xorg-xinit 1.4.4-1
xorg-xkbcomp 1.5.0-1
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.9-1
xorg-xwininfo 1.1.6-2
xorgproto 2025.1-1
xpad 5.8.0-1
xvidcore 1.3.7-3
xwaylandvideobridge 0.4.0-2
xxhash 0.8.3-1
xz 5.8.2-1
yaml-cpp 0.8.0-3
yazi 26.1.22-2
ydotool 1.0.4-2
yt-dlp 2026.02.04-1
yt-dlp-ejs 0.4.0-1
yt-x 0.4.5-1
ytermusic-bin 0.1.0-3
yyjson 0.12.0-1
zen-browser-bin 1.17.6b-1
zenity 4.2.1-1
zeromq 4.3.5-3
zimg 3.0.6-1
zint 2.16.0-1
zip 3.0-11
zix 0.8.0-1
zlib 1:1.3.2-2
zlib-ng 2.3.3-1
zsh 5.9-5
zstd 1.5.7-3
zxing-cpp 3.0.2-1
zziplib 0.13.80-1
