7zip 26.00-1
glycin-gtk4 2.0.8-1
gmp 6.3.0-3
gnome-autoar 0.4.5-1
gnome-desktop 1:44.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-keyring 1:48.0-1
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.12-2
go 2:1.26.0-1
gobject-introspection-runtime 1.86.0-2
godot 4.6.1-1
godot-mono 4.6.1-1
gopreload-git r67.6879317-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-2
gpu-screen-recorder 5.12.4-1
gpu-screen-recorder-gtk r501.6e41490-1
graphene 1.10.8-2
graphicsmagick 1.3.46-1
graphite 1:1.3.14-6
graphviz 14.1.2-1
grep 3.12-2
grim 1.5.0-2
grimblast-git r154.541628c-1
groff 1.23.0-8
grub 2:2.14-1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsl 2.8-1
gsm 1.0.23-1
gspell 1.14.2-1
gssdp 1.6.4-1
gst-plugin-pipewire 1:1.4.10-2
gst-plugins-bad-libs 1.28.0-2
gst-plugins-base 1.28.0-2
gst-plugins-base-libs 1.28.0-2
gst-plugins-good 1.28.0-2
gstreamer 1.28.0-2
gtest 1.17.0-2
gtk-doc 1.35.1-1
gtk-engine-murrine 0.98.2-4
gtk-layer-shell 0.10.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-2
gtksourceview5 5.18.0-1
gts 0.7.6.121130-5
guile 3.0.11-1
gum 0.17.0-1
gupnp 1:1.6.9-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.58.1-1
gzip 1.14-2
harfbuzz 12.3.2-1
harfbuzz-icu 12.3.2-1
hdf5 2.0.0-4
headsetcontrol 3.1.0-2
helvum 0.5.1-1
heroic-games-launcher-bin 2.18.1-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-2
hunspell 1.7.2-3
hwdata 0.404-1
hwloc 2.13.0-1
hyphen 2.8.8-6
hyprcursor 0.1.13-3
hyprgraphics 0.5.0-1
hyprland 0.53.3-2
hyprland-guiutils 0.2.1-2
hyprland-qt-support 0.1.0-10
hyprlang 0.6.8-1
hyprlock 0.9.2-8
hyprpaper 0.8.3-2
hyprshot 1.3.0-4
hyprtoolkit 0.5.3-1
hyprutils 0.11.0-1
hyprwayland-scanner 0.4.5-1
hyprwire 0.3.0-1
i2c-tools 4.4-4
iana-etc 20260203-1
icoextract 0.2.0-1
icu 78.2-2
id3lib 3.8.3-19
ijs 0.35-6
imagemagick 7.1.2.13-2
imath 3.2.2-3
imlib2 1.12.6-1
inetutils 2.7-2
iniparser 4.2.6-2
inkscape 1.4.3-2
intel-oneapi-common 2024.1.0-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2025.0.4-1
intel-oneapi-compiler-shared-runtime-libs 2025.0.4-2
intel-oneapi-openmp 2025.0.4-1
intel-oneapi-tbb 2021.12.0-2
intel-oneapi-tcm 1.2.0-3
iotop 0.6-13
iproute2 6.19.0-1
iptables 1:1.8.11-2
iputils 20250605-1
iso-codes 4.20.1-1
jansson 2.15.0-1
jasper 4.2.8-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 25.0.2.u10-1
jdk17-openjdk 17.0.18.u8-1
jdk21-openjdk 21.0.10.u7-1
jdk8-openjdk 8.482.u08-1
jemalloc 1:5.3.0-5
joyutils 1.8.1-3
jq 1.8.1-1
jre8-openjdk 8.482.u08-1
jre8-openjdk-headless 8.482.u08-1
js128 128.14.0-1
js140 140.7.1-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
jxrlib 0.2.4-2
kaccounts-integration 25.12.2-1
kactivitymanagerd 6.6.0-1
karchive 6.23.0-1
kauth 6.23.0-1
kbd 2.9.0-1
kbookmarks 6.23.0-1
kcmutils 6.23.0-1
kcodecs 6.23.0-1
kcolorscheme 6.23.0-1
kcompletion 6.23.0-1
kcompletion5 5.116.0-2
kconfig 6.23.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.23.0-1
kcontacts 1:6.23.0-1
kcoreaddons 6.23.0-1
kcoreaddons5 5.116.0-2
kcrash 6.23.0-1
kcrash5 5.116.0-2
kdbusaddons 6.23.0-1
kddockwidgets 2.4.0-2
kde-cli-tools 6.6.0-1
kdeclarative 6.23.0-1
kdeconnect 25.12.2-1
kdecoration 6.6.0-1
kded 6.23.0-1
kdenlive 25.12.2-1
kdesu 6.23.0-1
kdnssd 6.23.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-2
keepassxc 2.7.11-1
keyd 2.6.0-5
keyutils 1.6.3-3
kfilemetadata 6.23.0-1
kglobalaccel 6.23.0-1
kglobalacceld 6.6.0-1
kguiaddons 6.23.0-1
kguiaddons5 5.116.0-2
kholidays 1:6.23.0-1
ki18n 6.23.0-1
ki18n5 5.116.0-2
kiconthemes 6.23.0-1
kid3 3.9.7-2
kid3-common 3.9.7-2
kidletime 6.23.0-1
kio 6.23.0-1
kio-extras 25.12.2-1
kio-fuse 5.1.1-1
kirigami 6.23.0-1
kirigami-addons 1.11.0-1
kitemmodels 6.23.0-1
kitemviews 6.23.0-1
kitemviews5 5.116.0-2
kjobwidgets 6.23.0-1
kmenuedit 6.6.0-1
kmod 34.2-1
knewstuff 6.23.0-1
knighttime 6.6.0-1
knotifications 6.23.0-1
